id_detalle,numero_factura,id_producto,cantidad
1,1,1,1
2,2,1,1
3,3,1,1
4,4,1,2
5,5,1,1
6,6,1,1
7,7,1,4
8,8,3,5
9,9,3,7
24,17,202,80
11,11,4,1
12,11,5,3
13,12,4,1
14,13,3,1
22,17,457,20
16,14,4,3
23,17,201,40
25,17,203,40
26,17,204,30
20,16,219,10
21,16,26,30
27,17,462,19
28,17,466,200
29,17,465,100
30,17,206,20
214,38,344,6
269,38,502,6
209,38,380,6
207,38,497,12
213,38,544,24
268,38,597,30
210,38,495,18
211,38,361,8
206,38,598,5
331,49,358,5
41,17,208,20
42,17,209,30
43,17,210,20
44,18,309,48
45,18,310,24
46,19,186,50
47,19,52,50
48,19,467,15
49,19,300,200
50,19,302,150
51,19,320,25
52,19,190,15
53,19,102,12
54,20,209,30
55,20,208,10
56,20,207,10
57,20,206,10
58,21,423,2
59,21,331,4
60,22,331,4
61,23,298,400
62,23,293,125
63,23,292,125
64,23,170,10
65,23,391,60
383,52,467,5
67,23,389,120
68,23,486,8
69,23,313,100
70,23,392,20
71,24,362,100
72,24,200,60
73,24,531,5
74,24,483,10
75,24,457,40
76,24,297,200
77,24,205,6
78,24,203,80
79,24,202,80
80,24,201,150
81,24,363,100
82,24,322,60
83,25,448,3
84,25,186,10
85,25,141,10
86,25,177,5
87,25,178,5
88,25,501,5
89,25,500,5
90,25,499,5
91,25,497,5
92,25,496,5
93,25,495,5
94,25,494,5
95,25,151,100
96,25,508,10
97,25,509,10
98,25,300,5
99,25,481,20
100,25,313,20
101,25,46,2
102,25,30,2
103,26,533,3
104,26,144,1
105,26,143,1
106,26,387,2
107,26,452,3
108,26,453,3
109,26,451,3
110,26,444,3
111,26,442,3
112,26,426,2
113,26,427,1
114,26,440,6
115,26,484,3
116,26,317,10
117,26,200,10
118,27,460,60
119,27,459,5
120,27,210,5
121,27,388,1
122,28,415,2
123,28,160,4
124,28,434,10
125,28,416,5
126,29,145,2
127,29,152,2
128,29,304,2
129,29,101,6
130,29,102,2
131,30,465,30
132,30,463,30
133,30,299,20
134,30,574,30
135,30,573,20
136,30,485,3
137,30,440,12
138,30,448,4
139,30,378,1
140,30,184,50
141,30,185,50
142,30,362,50
143,30,297,100
144,29,186,5
145,29,140,4
146,29,591,2
147,29,335,4
148,31,393,6
149,31,199,150
150,31,97,10
151,31,96,14
152,31,89,6
153,31,88,8
154,32,309,24
155,32,8,3
156,32,24,2
157,32,429,10
158,33,125,2
159,33,126,2
160,33,136,2
161,33,345,2
162,33,293,20
163,33,9,2
164,33,73,1
190,33,294,6
166,33,49,4
167,33,573,20
168,33,440,10
169,33,483,2
170,33,174,6
171,33,344,2
172,33,484,2
173,33,29,3
174,33,221,10
175,33,159,10
176,33,158,10
177,33,155,20
178,33,361,2
179,33,334,20
180,33,111,1
181,33,94,4
182,33,179,4
183,33,178,6
184,33,185,20
185,33,183,20
186,33,182,20
187,33,86,2
188,33,201,6
189,33,388,1
191,33,294,6
193,31,596,15
194,34,489,27
195,35,595,20
196,36,595,20
197,37,595,30
198,37,436,20
199,37,409,20
200,37,316,18
201,37,300,50
202,37,314,100
203,37,315,100
204,37,313,100
205,37,136,36
215,38,491,30
216,38,594,30
217,39,423,1
218,39,86,2
219,39,331,2
220,39,459,1
221,39,335,8
222,39,164,20
223,40,435,10
224,40,602,2
225,40,601,1
226,40,488,6
227,40,596,2
228,40,426,1
229,40,133,1
230,40,149,1
231,40,132,1
232,40,409,4
272,40,453,4
234,40,166,1
235,40,167,1
236,40,13,3
237,40,296,4
238,38,403,96
239,38,604,1
240,41,170,1
241,41,596,2
242,41,605,4
243,41,350,3
244,41,201,3
245,41,204,2
246,41,462,2
247,41,66,4
248,42,606,1
249,42,564,5
250,42,248,10
251,42,326,3
252,42,200,10
253,42,155,10
254,42,605,4
255,42,217,48
256,42,8,15
257,42,24,15
258,42,472,4
259,42,491,5
260,42,92,20
261,42,603,20
262,42,334,150
263,42,27,10
264,42,56,10
265,42,451,15
266,42,485,3
267,42,448,5
274,43,107,5
273,40,10,2
275,43,106,5
276,43,176,2
277,43,73,5
278,43,402,30
279,43,412,12
280,43,407,12
281,43,574,24
282,43,161,6
283,43,136,6
284,44,426,2
285,44,403,48
286,44,116,18
287,45,331,5
288,45,380,5
289,45,415,2
290,45,504,3
291,45,152,10
292,45,544,24
293,45,600,2
294,45,300,10
295,45,302,20
296,45,195,5
297,45,604,1
298,46,282,5
299,46,271,10
300,46,269,10
301,46,268,10
302,46,241,10
303,46,242,10
304,46,235,10
305,46,226,20
306,46,345,2
317,47,415,15
308,46,167,4
309,46,362,30
310,46,314,40
311,46,403,6
312,46,340,4
313,46,341,20
314,46,334,100
315,46,312,2
316,46,402,30
318,47,388,5
319,47,121,5
320,47,592,10
321,47,406,20
322,47,607,5
323,48,304,15
324,48,303,15
325,48,469,15
326,48,344,15
343,50,623,50
344,48,186,100
345,48,141,100
330,48,622,20
332,49,361,5
333,49,152,6
334,49,170,1
335,49,63,5
336,49,62,5
337,49,60,5
338,49,503,4
339,49,39,2
340,49,37,6
341,49,53,5
342,49,300,10
346,48,140,100
347,51,450,3
